Country;Date;Bee_name
Germany;7-6-2022;Coelioxys alata
Germany;7-6-2022;Andrena chrysosceles
Germany;7-6-2022;Bombus lapydarius
Germany;7-6-2022;Lasioglossum vilosulum
Germany;7-6-2022;Anthidium byssinum
Germany;7-6-2022;Bombus lapidarius
Germany;7-6-2022;Lasioglossum pauxillum
Germany;7-6-2022;Andrena alfkenella
Germany;7-6-2022;Osma aurulenta
Germany;4-8-2022;Bombus lapidarius
Germany;4-8-2022;Ceratina cyanea
Germany;4-8-2022;Halictus tumulorum
Germany;4-8-2022;Halictus tumulorum
Germany;4-8-2022;Halictus tumulorum
Germany;4-8-2022;Bombus pascuorum
Germany;4-8-2022;Lasioglossum morio
Germany;5-6-2022;Andrena chrysosceles
Germany;5-6-2022;Bombus pratorum
Germany;5-6-2022;Lasioglossum pygmaeum
Germany;5-6-2022;Andrena mynutula
Germany;5-6-2022;Bombus spec
Germany;5-6-2022;Andrena minutula
Germany;5-6-2022;Chelostoma florisomne
Germany;3-7-2022;Bombus pascuorum
Germany;3-7-2022;Bombus pascuorum
Germany;3-7-2022;Bombus terrestris
Germany;3-7-2022;Bombus pascuorum
Germany;3-7-2022;Bombus pascuorum
Germany;2-8-2022;Bombus pascuorum
Germany;2-8-2022;Bombus pascuorum
Germany;2-8-2022;Bombus pascuorum
Germany;2-8-2022;Bombus pascuorum
Germany;2-8-2022;Bombus pascuorum
Germany;2-8-2022;Bombus pascuorum
Germany;2-8-2022;Bombus pascuorum
Germany;2-8-2022;Lasioglossum calceatum
Germany;18-5-2022;Bombus hortorum
Germany;18-5-2022;Bombus pascuorum
Germany;18-5-2022;Bombus pascuorum
Germany;18-5-2022;Bombus pascuorum
Germany;18-5-2022;Bombus pascuorum
Germany;18-5-2022;Megachile maritima
Germany;18-5-2022;Bombus sylvarum
Germany;18-5-2022;Apis mellifera
Germany;18-5-2022;Apis mellifera
Germany;18-5-2022;Apis melifera
Germany;23-6-2022;Bombus lapidarius
Germany;23-6-2022;Bombus lapidarius
Germany;23-6-2022;Bombus lapidarius
Germany;23-6-2022;Bombus pascuorum
Germany;23-6-2022;Halictus tumulorum
Germany;23-6-2022;Lasioglossum lativentre
Germany;23-6-2022;Apis mellifera
Germany;23-6-2022;Bombus lapidarius
Germany;23-6-2022;Megachile willughbiella
Germany;25-6-2022;Bombus lapidarius
Germany;25-6-2022;Lasioglossum calceatum
Germany;25-6-2022;Osmia campanularum
Germany;25-6-2022;Bombus sylvarum
Germany;25-6-2022;Bombus lapidarius
Germany;25-6-2022;Bombus lapidarius
Germany;25-6-2022;Bombus pascuorum
Germany;25-6-2022;Halictus rubicundus
Germany;25-6-2022;Halictus tumulorum
Germany;25-6-2022;Megachile willughbiella
Germany;23-7-2022;Bombus sylvarum
Germany;23-7-2022;Bombus pascuorum
Germany;23-7-2022;Halictus scabiosae
Germany;23-7-2022;Bombus sylvarum
Germany;23-7-2022;Bombus sylvarum
Germany;23-7-2022;Apis mellifera
Germany;23-7-2022;Bombus sylvarum
Germany;23-7-2022;Lasioglossum leucozonium
Germany;23-7-2022;Lasioglossum leucozonium
Germany;23-7-2022;Apis mellifera
Germany;31-5-2022;Bombus pascuorum
Germany;31-5-2022;Bombus pratorum
Germany;31-5-2022;Lasioglossum villosulum
Germany;31-5-2022;Lasioglossum pauxillum
Germany;31-5-2022;Lasioglossum morio
Germany;31-5-2022;Bombus hortorum
Germany;28-6-2022;Bombus lapidarius
Germany;28-6-2022;Bombus pascuorum
Germany;28-6-2022;Bombus pascuorum
Germany;29-6-2022;Bombus pascuorum
Germany;26-7-2022;Bombus pascuorum
Germany;26-7-2022;Bombus pascuorum
Germany;26-7-2022;Bombus lapidarius
Germany;26-7-2022;Bombus pascuorum
Germany;26-7-2022;Bombus terrestris
Germany;26-7-2022;Halictus simple
Germany;26-7-2022;Bombus ruderarius
Germany;26-7-2022;Bombus lapidarius
Germany;26-7-2022;Bombus pascuorum
Germany;26-7-2022;Bombus pascuorum
Germany;26-7-2022;Halictus simplex
Germany;26-7-2022;Lasioglossum leucozonium
Germany;26-7-2022;Bombus ruderarius
Germany;26-7-2022;Halictus quadricinctus
Germany;26-7-2022;Bombus lapidarius
Germany;26-7-2022;Bombus lapidarius
Germany;26-7-2022;Bombus lapidarius
Germany;26-7-2022;Bombus lapidarius
Germany;26-7-2022;Bombus lapidarius
Germany;26-7-2022;Bombus pascuorum
Germany;26-7-2022;Bombus pascuorum
Germany;26-7-2022;Bombus terrestris
Germany;26-7-2022;Bombus sylvarum
Germany;26-7-2022;Bombus spec
Germany;10-6-2022;Bombus hortorum
Germany;10-6-2022;Bombus pascuorum
Germany;17-7-2022;Bombus lapidarius
